lga_name_2021_asgs, fid, sep_21, lga_code_2021_asgs, mar_21, jun_21, jun_20, dec_20, jun_19, dec_19, mar_19, sep_20, sep_19, mar_20
"Hume (C)",162,10.5,"23270",13.1999998092651,11.8999996185303,9.69999980926514,12.3000001907349,8.0,8.30000019073486,7.69999980926514,11.1999998092651,8.10000038146973,8.69999980926514
"Kingston (C) (Vic.)",164,5.09999990463257,"23430",6.69999980926514,6.0,5.59999990463257,6.90000009536743,4.40000009536743,4.69999980926514,4.5,6.19999980926514,4.59999990463257,4.90000009536743
"Knox (C)",165,4.80000019073486,"23670",6.0,5.40000009536743,3.90000009536743,5.69999980926514,3.40000009536743,3.0,3.79999995231628,4.69999980926514,3.09999990463257,3.09999990463257
"Macedon Ranges (S)",168,2.90000009536743,"24130",4.09999990463257,3.5,2.90000009536743,3.79999995231628,2.0,2.20000004768372,2.0,3.5,2.0,2.29999995231628
"Manningham (C)",169,6.69999980926514,"24210",7.0,6.80000019073486,5.5,6.40000009536743,4.40000009536743,4.59999990463257,4.5,5.69999980926514,4.30000019073486,5.0
"Mansfield (S)",170,2.29999995231628,"24250",2.70000004768372,2.90000009536743,2.09999990463257,2.29999995231628,1.89999997615814,2.29999995231628,2.0,2.5,1.89999997615814,2.40000009536743
"Maribyrnong (C)",171,6.09999990463257,"24330",7.69999980926514,7.0,6.19999980926514,7.69999980926514,5.0,4.90000009536743,5.19999980926514,6.90000009536743,4.90000009536743,5.5
"Maroondah (C)",172,4.90000009536743,"24410",6.19999980926514,5.59999990463257,4.30000019073486,6.0,3.79999995231628,3.5,4.09999990463257,5.09999990463257,3.59999990463257,3.70000004768372
"Melbourne (C)",173,5.30000019073486,"24600",5.40000009536743,5.40000009536743,3.90000009536743,4.80000019073486,3.59999990463257,3.70000004768372,3.59999990463257,4.30000019073486,3.59999990463257,3.59999990463257
"Melton (C)",174,7.80000019073486,"24650",9.39999961853027,8.80000019073486,8.0,9.60000038146973,6.59999990463257,6.69999980926514,6.59999990463257,8.69999980926514,6.59999990463257,7.5
"Mitchell (S)",176,5.30000019073486,"24850",5.90000009536743,6.09999990463257,4.40000009536743,5.30000019073486,3.79999995231628,4.09999990463257,4.09999990463257,5.09999990463257,3.90000009536743,4.5
"Monash (C)",178,3.70000004768372,"24970",4.59999990463257,4.0,3.70000004768372,4.40000009536743,2.5,2.90000009536743,2.59999990463257,4.0,2.70000004768372,3.0
"Moonee Valley (C)",179,5.40000009536743,"25060",6.5,6.0,5.19999980926514,6.19999980926514,4.69999980926514,4.90000009536743,4.5,5.59999990463257,4.80000019073486,4.80000019073486
"Moorabool (S)",180,5.40000009536743,"25150",6.59999990463257,6.19999980926514,5.5,6.69999980926514,4.69999980926514,4.59999990463257,4.90000009536743,6.09999990463257,4.59999990463257,5.0
"Moreland (C)",181,6.69999980926514,"25250",8.19999980926514,7.5,6.09999990463257,7.59999990463257,5.5,5.5,5.40000009536743,6.80000019073486,5.40000009536743,5.40000009536743
"Mornington Peninsula (S)",182,4.0,"25340",4.90000009536743,4.59999990463257,4.5,4.80000019073486,3.70000004768372,4.19999980926514,3.79999995231628,4.69999980926514,3.90000009536743,4.09999990463257
"Mount Alexander (S)",183,3.70000004768372,"25430",4.69999980926514,4.19999980926514,4.09999990463257,4.59999990463257,2.70000004768372,3.0,3.20000004768372,4.5,2.79999995231628,3.5
"Murrindindi (S)",185,4.19999980926514,"25620",4.80000019073486,5.0,3.59999990463257,4.30000019073486,3.0,3.5,3.09999990463257,4.19999980926514,3.09999990463257,3.70000004768372
"Nillumbik (S)",186,3.0,"25710",3.79999995231628,3.59999990463257,2.20000004768372,3.40000009536743,1.89999997615814,1.79999995231628,2.09999990463257,2.90000009536743,1.89999997615814,1.89999997615814
"Port Phillip (C)",188,5.09999990463257,"25900",6.0,5.59999990463257,4.90000009536743,5.69999980926514,4.5,4.69999980926514,4.40000009536743,5.19999980926514,4.5,4.5
"Queenscliffe (B)",190,2.0,"26080",3.09999990463257,2.59999990463257,2.0,3.0,null,null,null,2.70000004768372,null,1.70000004768372
"South Gippsland (S)",191,3.79999995231628,"26170",4.0,4.09999990463257,2.70000004768372,3.79999995231628,2.40000009536743,2.20000004768372,3.09999990463257,3.09999990463257,2.20000004768372,2.29999995231628
"Stonnington (C)",193,3.79999995231628,"26350",4.80000019073486,4.40000009536743,3.29999995231628,4.59999990463257,2.59999990463257,2.70000004768372,2.5,3.90000009536743,2.59999990463257,2.70000004768372
"Surf Coast (S)",195,2.0,"26490",3.0,2.59999990463257,1.89999997615814,2.90000009536743,2.20000004768372,1.70000004768372,2.29999995231628,2.5,2.0,1.5
"Whitehorse (C)",202,6.09999990463257,"26980",6.19999980926514,6.09999990463257,5.09999990463257,5.80000019073486,4.5,4.59999990463257,4.59999990463257,5.30000019073486,4.40000009536743,4.90000009536743
"Whittlesea (C)",203,7.30000019073486,"27070",8.39999961853027,8.30000019073486,5.59999990463257,7.69999980926514,5.19999980926514,4.90000009536743,5.5,6.59999990463257,5.09999990463257,5.19999980926514
"Wyndham (C)",205,6.59999990463257,"27260",8.10000038146973,7.59999990463257,6.5,8.10000038146973,5.40000009536743,5.30000019073486,5.59999990463257,7.19999980926514,5.30000019073486,5.80000019073486
"Yarra (C)",206,5.69999980926514,"27350",6.80000019073486,6.30000019073486,6.09999990463257,6.69999980926514,5.5,5.90000009536743,5.40000009536743,6.30000019073486,5.59999990463257,5.69999980926514
"Yarra Ranges (S)",207,4.90000009536743,"27450",6.30000019073486,5.69999980926514,4.19999980926514,6.09999990463257,3.79999995231628,3.29999995231628,4.19999980926514,5.09999990463257,3.5,3.5
"Unincorporated Vic",209,3.09999990463257,"29399",3.70000004768372,3.90000009536743,2.40000009536743,3.40000009536743,null,null,null,3.20000004768372,null,2.70000004768372
