geography_name,rai_cityadjusted_total_2011_q2,rai_cityadjusted_total_2011_q3,rai_cityadjusted_total_2020_q1,rai_cityadjusted_total_2011_q1,state,rai_cityadjusted_total_2019_q4,rai_cityadjusted_total_2020_q3,rai_cityadjusted_total_2020_q2,rai_cityadjusted_total_2011_q4,rai_cityadjusted_total_2020_q4,city,unique_id,rai_cityadjusted_total_2017_q4,rai_cityadjusted_total_2017_q3,rai_cityadjusted_total_2017_q2,rai_cityadjusted_total_2018_q1,rai_cityadjusted_total_2018_q2,rai_cityadjusted_total_2013_q1,rai_cityadjusted_total_2021_q2,rai_cityadjusted_total_2021_q1,rai_cityadjusted_total_2013_q3,rai_cityadjusted_total_2013_q2,rai_cityadjusted_total_2013_q4,rai_cityadjusted_total_2017_q1,rai_cityadjusted_total_2018_q4,rai_cityadjusted_total_2018_q3,rai_cityadjusted_total_2019_q3,rai_cityadjusted_total_2019_q2,rai_cityadjusted_total_2019_q1,rai_cityadjusted_total_2016_q3,rai_cityadjusted_total_2016_q4,rai_cityadjusted_total_2016_q1,rai_cityadjusted_total_2016_q2,rai_cityadjusted_total_2015_q2,rai_cityadjusted_total_2012_q2,rai_cityadjusted_total_2015_q3,rai_cityadjusted_total_2012_q1,rai_cityadjusted_total_2014_q3,rai_cityadjusted_total_2012_q4,rai_cityadjusted_total_2015_q1,rai_cityadjusted_total_2014_q4,rai_cityadjusted_total_2012_q3,rai_cityadjusted_total_2014_q1,rai_cityadjusted_total_2014_q2,rai_cityadjusted_total_2015_q4
"3172",129.1619,135.2163,137.0192,126.2019,"VIC",137.0192,140.7129,140.5325,124.5158,147.929,"Greater Melbourne",1461,136.6397,123.6264,136.6397,129.8077,126.6417,144.2308,138.1852,143.5132,131.8681,139.8601,128.2051,133.1361,129.8077,138.4615,133.6773,144.2308,128.2051,132.5364,129.0486,129.9032,138.1365,124.7401,124.5158,125.0003,127.2624,127.321,135.7466,133.5857,131.8681,131.1189,132.5974,128.2051,130.7692
"3187",72.41712,78.67133,68.50962,68.4485,"VIC",71.41067,84.84163,79.43144,72.7214,87.08273,"Greater Melbourne",1475,69.27695,80.50089,73.13109,80.50089,74.70946,77.56949,77.96258,76.92308,79.5756,76.92308,75.0469,79.88166,69.23077,76.92308,80.59955,81.80253,74.17582,75.44379,70.81366,75.44379,89.16084,76.28735,65.55944,77.56949,65.41078,77.89679,82.41758,76.92308,71.00592,73.33768,83.16008,81.68822,74.3007
"3174",144.2308,149.2042,156.5934,144.2308,"VIC",152.2436,163.4343,154.6034,149.2042,160.2564,"Greater Melbourne",1463,152.7149,150.5017,152.7149,152.7149,148.3516,153.8462,164.8352,164.8352,153.8462,153.8462,153.8462,157.3427,148.3516,148.3516,152.2436,152.2436,148.3516,148.6014,150.8876,153.2452,153.2452,148.8834,146.6754,144.2308,149.2042,148.8834,156.4537,148.8834,153.8462,149.2042,153.8462,148.8834,150.8876
"3175",160.2564,154.533,161.1991,153.8462,"VIC",168.6391,174.8252,168.6391,154.533,180.2885,"Greater Melbourne",1464,162.2596,162.2596,167.4938,157.3427,157.3427,161.9433,174.8252,174.8252,161.9433,164.8352,159.1512,167.4938,157.3427,157.3427,166.0839,163.6051,162.2596,163.4615,157.1746,163.4615,163.4615,159.1512,151.8219,148.8834,156.7726,159.1512,164.8352,156.4537,153.8462,157.3427,156.4537,153.8462,163.4615
"3177",154.533,157.3427,161.1991,146.5866,"VIC",166.0839,174.8252,161.1991,160.2564,177.5148,"Greater Melbourne",1465,162.2596,157.3427,157.3427,164.8352,157.3427,164.8352,167.2241,169.6833,160.5351,159.1512,159.1512,164.8352,156.1596,154.9943,166.0839,161.1991,157.3427,163.4615,158.1886,163.4615,158.1886,153.8462,154.533,159.1512,154.533,156.4537,164.8352,153.8462,164.8352,154.533,155.139,153.8462,163.4615
"3178",112.3876,113.8664,116.6121,106.2753,"VIC",121.7949,125.4181,121.7949,110.2401,122.7496,"Greater Melbourne",1466,115.3846,118.007,120.7513,118.007,115.3846,112.5704,122.7496,122.7496,115.3846,116.1103,112.5704,115.3846,115.3846,115.3846,124.5629,124.5629,115.3846,111.451,111.451,119.606,116.7582,110.5481,112.3876,107.3345,106.8376,112.5704,115.3846,115.3846,115.3846,113.8664,112.5704,115.3846,116.7582
"3179",123.6264,123.6264,133.6773,115.3846,"VIC",133.6773,129.6456,128.9593,116.9439,137.3626,"Greater Melbourne",1467,129.8077,126.6417,123.6264,129.8077,120.7513,128.2051,137.3626,131.1189,128.2051,128.2051,124.7401,127.4186,130.6241,120.0534,125.9947,137.0192,123.6264,125.7396,124.148,136.2179,125.7396,121.4575,123.6264,123.0769,126.3335,128.2051,135.7466,121.4575,124.7401,124.5158,124.7401,122.2618,124.148
"3180",120.1923,123.6264,127.4597,122.3776,"VIC",127.4597,128.2051,130.4945,116.9439,135.7466,"Greater Melbourne",1468,120.7513,123.6264,125.1158,123.6264,125.8741,124.7401,128.2051,132.626,131.8681,130.0108,126.4489,126.6417,124.3667,118.007,130.4945,130.4945,115.3846,122.5962,121.8347,125.7396,122.5962,115.3846,123.6264,121.4575,123.6264,123.0769,131.8681,121.4575,117.5894,123.6264,124.7401,121.4575,116.7582
"3181",109.5424,105.5347,127.4597,109.1476,"VIC",115.3846,128.2051,125.2747,109.5424,134.1682,"Greater Melbourne",1469,110.4746,118.007,118.007,129.8077,110.4746,121.4575,146.0565,144.2308,118.3432,115.3846,115.3846,134.8651,115.3846,118.007,120.4565,121.7949,128.2051,122.5962,111.451,132.5364,116.7582,115.3846,108.1731,115.3846,120.1923,115.3846,116.8452,118.3432,109.8901,116.9439,124.7401,118.3432,118.165
"3182",113.8664,116.9439,127.4597,107.6923,"VIC",126.723,144.2308,137.0192,113.8664,146.0565,"Greater Melbourne",1470,123.6264,126.6417,123.6264,126.6417,123.6264,119.8801,155.9252,153.8462,121.4575,121.4575,123.0769,126.6417,123.6264,123.6264,127.4597,127.4597,120.7513,122.5962,122.5962,122.5962,122.5962,119.8801,113.8664,121.4575,113.8664,121.4575,121.4575,121.4575,121.4575,113.8664,121.4575,123.0769,125.7396
"3183",120.1923,120.1923,128.9593,115.3846,"VIC",125.9947,146.0565,138.7537,118.5458,144.2308,"Greater Melbourne",1471,126.6417,129.8077,131.4508,129.8077,129.8077,125.5887,155.9252,149.8501,124.7401,126.4489,128.2051,129.8077,120.7513,126.6417,133.6773,130.4945,120.7513,124.148,122.5962,125.7396,129.0486,123.0769,120.1923,124.7401,120.1923,124.7401,128.2051,131.8681,131.8681,123.6264,124.7401,128.2051,127.3726
"3184",113.8664,109.5424,119.7982,103.5503,"VIC",121.7949,135.7466,128.9593,110.9467,135.7466,"Greater Melbourne",1472,118.007,125.1158,123.6264,115.3846,120.7513,116.8452,136.5498,136.8738,118.3432,115.3846,116.8452,123.6264,115.3846,118.007,121.7949,120.4565,112.8763,116.7582,119.606,119.606,118.165,115.3846,108.1731,115.3846,110.9467,116.8452,119.8801,116.8452,113.9601,112.3876,118.3432,121.4575,122.5962
"3185",121.8852,120.1923,125.9947,106.2753,"VIC",124.5629,128.2051,117.2357,113.8664,134.1682,"Greater Melbourne",1473,124.3667,129.8077,123.6264,123.6264,115.3846,116.8452,140.7129,128.2051,124.7401,119.8801,121.4575,118.007,126.6417,120.7513,128.9593,124.5629,115.3846,127.3726,122.5962,129.0486,122.5962,109.8901,113.8664,116.8452,105.5347,123.0769,116.8452,118.3432,119.8801,116.9439,115.3846,116.8452,122.5962
"3186",72.29612,73.9645,73.07692,68.4485,"VIC",87.69231,79.03056,84.31953,78.67133,91.57509,"Greater Melbourne",1474,79.88166,79.88166,83.7469,78.67133,84.42777,67.8733,88.7574,83.01051,75.0469,77.56949,71.00592,79.88166,86.53846,76.63923,78.85999,83.35771,77.49713,89.16084,84.54907,86.03239,76.02862,73.84615,77.26648,76.92308,72.7214,77.56949,76.92308,69.93007,74.44169,67.08408,76.92308,80.26756,77.83883
"3191",97.23423,98.33916,93.68836,89.74359,"VIC",109.6154,110.4159,109.6154,96.15385,115.3846,"Greater Melbourne",1479,105.4276,106.5089,115.3846,108.1731,107.6126,93.24009,117.7394,115.3846,95.16257,108.5973,100.8827,107.0579,105.9655,105.4276,116.6121,111.8524,99.85207,113.3837,106.6054,99.0676,106.6054,108.5973,92.06219,101.437,90.14423,77.56949,101.437,115.3846,105.4945,93.55509,87.91209,93.24009,102.1635
"3192",120.9651,127.2624,111.8524,106.9791,"VIC",119.1472,122.1001,119.1472,112.3876,131.1189,"Greater Melbourne",1480,120.7513,115.3846,120.7513,118.007,112.8763,131.8681,130.3781,128.2051,124.7401,131.8681,116.8452,115.3846,115.3846,115.3846,119.1472,119.1472,111.6625,114.0429,111.451,125.7396,123.2122,121.4575,113.8664,115.3846,118.5458,118.3432,128.2051,115.3846,119.8801,121.8852,116.8452,116.8452,116.7582
"3194",127.2624,135.2163,130.4945,126.2019,"VIC",132.0667,144.2308,137.0192,131.1189,144.2308,"Greater Melbourne",1482,130.133,131.4508,133.1361,120.7513,122.1719,139.8601,147.929,140.7129,137.7727,128.2051,123.0769,133.1361,129.8077,128.2051,128.9593,137.0192,129.8077,126.5509,125.7396,126.5509,125.7396,124.7401,120.1923,128.2051,135.2163,124.7401,128.2051,126.4489,119.8801,127.2624,130.0108,128.2051,125.7396
"3195",118.5458,114.6205,114.1827,115.3846,"VIC",116.6121,122.7496,116.6121,112.3876,125.4181,"Greater Melbourne",1483,129.0014,115.3846,123.6264,118.007,115.3846,128.2051,120.8216,120.1923,121.4575,124.7401,121.4575,116.6811,109.3117,115.3846,119.1472,121.7949,115.3846,116.0674,110.1988,121.8347,130.7692,120.6637,120.1923,115.3846,116.9439,123.0769,121.4575,116.2565,115.3846,119.3634,121.4575,115.3846,119.606
"3200",164.8352,166.4201,166.0839,155.3254,"VIC",163.6051,174.8252,168.6391,166.4201,169.6833,"Greater Melbourne",1488,157.3427,162.2596,164.8352,157.3427,157.3427,177.5148,169.6833,164.8352,177.5148,177.5148,177.5148,167.4938,159.7633,161.0018,166.0839,166.0839,157.3427,169.0981,163.4615,163.4615,169.0981,164.8352,166.4201,163.3764,166.4201,170.9402,184.6154,167.8322,170.9402,166.4201,174.1655,174.1655,175.1374
